100020,40012,99980,40012
100180,40228,99820,40228
99485,40302,100515,40302
99060,40400,100940,40400
98895,40596,101105,40596
98410,40876,101590,40876
98210,41110,101790,41110
97410,41196,102590,41196
96395,41214,103605,41214
96340,41566,103660,41566
96305,41694,103695,41694
96275,41872,103725,41872
95655,41996,104345,41996
96385,42314,103615,42314
96615,42624,103385,42624
97150,42950,102850,42950
95810,42876,104190,42876
94745,43016,105255,43016
95000,43188,105000,43188
94415,43222,105585,43222
94745,43580,105255,43580
95115,43838,104885,43838
95050,44090,104950,44090
95600,44414,104400,44414
96145,44638,103855,44638
96225,44896,103775,44896
97055,45270,102945,45270
96515,45450,103485,45450
96625,45674,103375,45674
96240,45812,103760,45812
95940,45906,104060,45906
96205,46278,103795,46278
96090,46420,103910,46420
95250,46422,104750,46422
95355,46754,104645,46754
95155,46912,104845,46912
95885,47184,104115,47184
94640,47156,105360,47156
94945,47490,105055,47490
95825,47864,104175,47864
96150,48172,103850,48172
96435,48342,103565,48342
96415,48568,103585,48568
96780,48670,103220,48670
95170,48544,104830,48544
95860,48836,104140,48836
95490,49038,104510,49038
95460,49304,104540,49304
94440,49316,105560,49316
94580,49602,105420,49602
93365,49590,106635,49590
93220,49744,106780,49744
93380,49958,106620,49958
92770,49988,107230,49988
92810,50192,107190,50192
92975,50496,107025,50496
92980,50618,107020,50618
92825,50708,107175,50708
93050,50858,106950,50858
92940,50844,107060,50844
92920,50990,107080,50990
92990,51170,107010,51170
93825,51578,106175,51578
93570,51692,106430,51692
93210,51814,106790,51814
93090,52060,106910,52060
93595,52268,106405,52268
94035,52642,105965,52642
94475,52892,105525,52892
94570,53060,105430,53060
95165,53290,104835,53290
94395,53288,105605,53288
93690,53292,106310,53292
93450,53310,106550,53310
93420,53574,106580,53574
92340,53516,107660,53516
92850,53834,107150,53834
91980,53768,108020,53768
91735,53930,108265,53930
91355,53994,108645,53994
92355,54378,107645,54378
93120,54678,106880,54678
93535,54912,106465,54912
92825,54996,107175,54996
93055,55178,106945,55178
92770,55370,107230,55370
93565,55766,106435,55766
93550,55874,106450,55874
92905,55942,107095,55942
92950,56158,107050,56158
93145,56362,106855,56362
93120,56504,106880,56504
93030,56708,106970,56708
92600,56774,107400,56774
92810,56948,107190,56948
93175,57282,106825,57282
93225,57396,106775,57396
92890,57612,107110,57612
92540,57710,107460,57710
92410,57850,107590,57850
91670,57968,108330,57968
91395,57986,108605,57986
91900,58204,108100,58204
91815,58380,108185,58380
91685,58452,108315,58452
92255,58600,107745,58600
92220,58730,107780,58730
91975,58698,108025,58698
92325,58886,107675,58886
92255,59044,107745,59044
92065,59144,107935,59144
91760,59202,108240,59202
91410,59156,108590,59156
91010,59270,108990,59270
91135,59390,108865,59390
91380,59536,108620,59536
91340,59848,108660,59848
90620,59910,109380,59910
90200,60010,109800,60010
90355,60174,109645,60174
89850,60178,110150,60178
89325,60188,110675,60188
89380,60232,110620,60232
89610,60294,110390,60294
89775,60448,110225,60448
89410,60472,110590,60472
89860,60680,110140,60680
89750,60770,110250,60770
89700,60772,110300,60772
89230,60798,110770,60798
88940,60824,111060,60824
89005,60882,110995,60882
89545,61046,110455,61046
89910,61138,110090,61138
90155,61264,109845,61264
90805,61422,109195,61422
91140,61718,108860,61718
90160,61706,109840,61706
90265,61730,109735,61730
90850,62006,109150,62006
91235,62032,108765,62032
91325,62104,108675,62104
90950,62160,109050,62160
91150,62272,108850,62272
91120,62352,108880,62352
91025,62386,108975,62386
91000,62482,109000,62482
91630,62714,108370,62714
91915,62876,108085,62876
91550,62828,108450,62828
91470,62818,108530,62818
91180,62860,108820,62860
91885,63156,108115,63156
92835,63334,107165,63334
93200,63550,106800,63550
93295,63574,106705,63574
93205,63724,106795,63724
93230,63824,106770,63824
93050,63856,106950,63856
93020,63972,106980,63972
92825,64014,107175,64014
93080,64190,106920,64190
93070,64114,106930,64114
92795,64172,107205,64172
92340,64146,107660,64146
92340,64150,107660,64150
92335,64078,107665,64078
92340,64326,107660,64326
92160,64392,107840,64392
91780,64386,108220,64386
91465,64416,108535,64416
91430,64474,108570,64474
91440,64484,108560,64484
91390,64538,108610,64538
91525,64592,108475,64592
91405,64738,108595,64738
91730,64844,108270,64844
92065,65004,107935,65004
91595,65066,108405,65066
91735,65256,108265,65256
92360,65394,107640,65394
92150,65506,107850,65506
92270,65506,107730,65506
92805,65700,107195,65700
92535,65714,107465,65714
92845,65894,107155,65894
92925,65866,107075,65866
93205,65846,106795,65846
93845,66180,106155,66180
94030,66330,105970,66330
94505,66470,105495,66470
94465,66522,105535,66522
94225,66606,105775,66606
94060,66550,105940,66550
94035,66650,105965,66650
93760,66618,106240,66618
93975,66798,106025,66798
93990,66698,106010,66698
93555,66604,106445,66604
93720,66648,106280,66648
94290,66788,105710,66788
94030,66912,105970,66912
93610,66776,106390,66776
93945,66950,106055,66950
93755,66856,106245,66856
93565,66744,106435,66744
93960,66914,106040,66914
93425,66922,106575,66922
93915,66996,106085,66996
94205,67170,105795,67170
